filename,permissions,activities,services
de.syss.MifareClassicTool_64.apk,"['android.permission.NFC', 'de.syss.MifareClassicTool.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION']","['de.syss.MifareClassicTool.Activities.MainMenu', 'de.syss.MifareClassicTool.Activities.KeyMapCreator', 'de.syss.MifareClassicTool.Activities.DumpEditor', 'de.syss.MifareClassicTool.Activities.FileChooser', 'de.syss.MifareClassicTool.Activities.AccessConditionDecoder', 'de.syss.MifareClassicTool.Activities.ValueBlocksToInt', 'de.syss.MifareClassicTool.Activities.WriteTag', 'de.syss.MifareClassicTool.Activities.ReadTag', 'de.syss.MifareClassicTool.Activities.KeyEditor', 'de.syss.MifareClassicTool.Activities.HelpAndInfo', 'de.syss.MifareClassicTool.Activities.HexToAscii', 'de.syss.MifareClassicTool.Activities.TagInfoTool', 'de.syss.MifareClassicTool.Activities.ValueBlockTool', 'de.syss.MifareClassicTool.Activities.AccessConditionTool', 'de.syss.MifareClassicTool.Activities.Preferences', 'de.syss.MifareClassicTool.Activities.DiffTool', 'de.syss.MifareClassicTool.Activities.BccTool', 'de.syss.MifareClassicTool.Activities.CloneUidTool', 'de.syss.MifareClassicTool.Activities.ImportExportTool', 'de.syss.MifareClassicTool.Activities.UidLogTool', 'de.syss.MifareClassicTool.Activities.DataConversionTool']",[]
com.trianguloy.numericriddlegenerator_7.apk,['android.permission.WRITE_EXTERNAL_STORAGE'],['com.trianguloy.numericriddlegenerator.Riddle'],[]
com.gh4a_73.apk,"['android.permission.WAKE_LOCK', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.FOREGROUND_SERVICE']","['com.gh4a.activities.Github4AndroidActivity', 'com.gh4a.activities.BlogActivity', 'com.gh4a.activities.BlogListActivity', 'com.gh4a.activities.BookmarkListActivity', 'com.gh4a.activities.CollaboratorListActivity', 'com.gh4a.activities.CommitActivity', 'com.gh4a.activities.CommitDiffViewerActivity', 'com.gh4a.activities.CommitHistoryActivity', 'com.gh4a.activities.CompareActivity', 'com.gh4a.activities.ContributorListActivity', 'com.gh4a.activities.EditCommitCommentActivity', 'com.gh4a.activities.EditIssueCommentActivity', 'com.gh4a.activities.EditPullRequestCommentActivity', 'com.gh4a.activities.EditDiffCommentActivity', 'com.gh4a.activities.EditPullRequestDiffCommentActivity', 'com.gh4a.activities.FileViewerActivity', 'com.gh4a.activities.CreateReviewActivity', 'com.gh4a.activities.ForkListActivity', 'com.gh4a.activities.FollowerFollowingListActivity', 'com.gh4a.activities.GistActivity', 'com.gh4a.activities.GistListActivity', 'com.gh4a.activities.GistViewerActivity', 'com.gh4a.activities.IssueActivity', 'com.gh4a.activities.IssueEditActivity', 'com.gh4a.activities.IssueLabelListActivity', 'com.gh4a.activities.IssueListActivity', 'com.gh4a.activities.IssueMilestoneEditActivity', 'com.gh4a.activities.IssueMilestoneListActivity', 'com.gh4a.activities.OrganizationMemberListActivity', 'com.gh4a.activities.PullRequestActivity', 'com.gh4a.activities.PullRequestDiffViewerActivity', 'com.gh4a.activities.ReleaseInfoActivity', 'com.gh4a.activities.ReleaseListActivity', 'com.gh4a.activities.RepositoryActivity', 'com.gh4a.activities.RepositoryListActivity', 'com.gh4a.activities.SearchActivity', 'com.gh4a.activities.StargazerListActivity', 'com.gh4a.activities.TimelineActivity', 'com.gh4a.activities.TrendingActivity', 'com.gh4a.activities.UserActivity', 'com.gh4a.activities.WatcherListActivity', 'com.gh4a.activities.WikiActivity', 'com.gh4a.activities.WikiListActivity', 'com.gh4a.activities.home.HomeActivity', 'com.gh4a.activities.ReviewActivity', 'com.gh4a.activities.SettingsActivity', 'com.gh4a.resolver.BrowseFilter']","['com.gh4a.worker.NotificationHandlingService', 'androidx.work.impl.background.systemalarm.SystemAlarmService', 'androidx.work.impl.background.systemjob.SystemJobService', 'androidx.work.impl.foreground.SystemForegroundService', 'androidx.room.MultiInstanceInvalidationService']"
com.nesbox.tic_10100.apk,"['android.permission.BLUETOOTH_CONNECT', 'android.permission.VIBRATE', 'android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.BLUETOOTH']","['com.nesbox.tic.TIC', 'com.nesbox.tic.TICFileReceiver']",[]
io.neurolab_1.apk,"['android.permission.BLUETOOTH_ADMIN', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.BLUETOOTH']","['io.neurolab.activities.PinLayoutActivity', 'io.neurolab.activities.MeditationListActivity', 'io.neurolab.activities.MeditationHome', 'io.neurolab.activities.FocusParentActivity', 'io.neurolab.activities.TestModeActivity', 'io.neurolab.activities.ProgramModeActivity', 'io.neurolab.activities.AboutUsActivity', 'io.neurolab.main.NeuroLab', 'io.neurolab.activities.SettingsActivity', 'io.neurolab.activities.OnBoardingActivity', 'io.neurolab.activities.MeditationActivity', 'io.neurolab.activities.MemoryGraphParent', 'io.neurolab.communication.bluetooth.BluetoothTestActivity', 'io.neurolab.activities.DataLoggerActivity', 'io.neurolab.activities.DeviceInstructionsActivity']",[]
tk.hack5.treblecheck_5001001.apk,['tk.hack5.treblecheck.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION'],['tk.hack5.treblecheck.ui.MainActivity'],[]
de.sensebox.blockly_10102.apk,"['android.permission.CHANGE_NETWORK_STATE', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.CHANGE_WIFI_STATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET']",['de.sensebox.blockly.MainActivity'],[]
org.billthefarmer.crossword_124.apk,['android.permission.INTERNET'],"['org.billthefarmer.crossword.Main', 'org.billthefarmer.crossword.SearchActivity', 'org.billthefarmer.crossword.Anagram', 'org.billthefarmer.crossword.HelpActivity']",[]
com.releasestandard.scriptmanager_5.apk,"['android.permission.WAKE_LOCK', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET', 'android.permission.RECEIVE_SMS', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.FOREGROUND_SERVICE']",['com.releasestandard.scriptmanager.MainActivity'],"['androidx.work.impl.background.systemalarm.SystemAlarmService', 'androidx.work.impl.background.systemjob.SystemJobService', 'androidx.work.impl.foreground.SystemForegroundService', 'androidx.room.MultiInstanceInvalidationService']"
priv.wh201906.serialtest_32.apk,"['android.permission.BLUETOOTH_ADMIN', 'android.permission.BLUETOOTH_SCAN', 'android.permission.BLUETOOTH_CONNECT', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.BLUETOOTH_ADVERTISE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.BLUETOOTH']",['priv.wh201906.serialtest.MainActivity'],[]
