filename,permissions,activities,services
io.github.ismywebsiteup_11.apk,"['android.permission.WAKE_LOCK', 'android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET']","['io.github.ismywebsiteup.WelcomeActivity', 'io.github.ismywebsiteup.ResultActivity', 'io.github.ismywebsiteup.LicenseActivity', 'io.github.ismywebsiteup.ScheduleActivity', 'io.github.ismywebsiteup.MainActivity', 'com.jaredrummler.cyanea.prefs.CyaneaThemePickerActivity', 'com.jaredrummler.cyanea.prefs.CyaneaSettingsActivity']","['io.github.ismywebsiteup.Scheduler', 'io.github.ismywebsiteup.MainService', 'androidx.room.MultiInstanceInvalidationService']"
im.nfc.nfsee_203013.apk,['android.permission.NFC'],"['im.nfc.nfsee.MainActivity', 'io.flutter.plugins.urllauncher.WebViewActivity']",[]
org.godotengine.editor.v3_306002003.apk,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.MANAGE_EXTERNAL_STORAGE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET']","['org.godotengine.editor.GodotProjectManager', 'org.godotengine.editor.GodotEditor', 'org.godotengine.editor.GodotGame', 'org.godotengine.godot.utils.ProcessPhoenix']",['org.godotengine.godot.GodotDownloaderService']
tech.ula_7438725.apk,"['android.permission.WAKE_LOCK', 'android.permission.VIBRATE', 'android.permission.CHANGE_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'com.android.vending.BILLING', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.FOREGROUND_SERVICE']","['tech.ula.MainActivity', 'com.termux.app.TermuxActivity']","['tech.ula.ServerService', 'com.termux.app.TermuxService', 'androidx.room.MultiInstanceInvalidationService']"
org.dyndns.sven_ola.debian_kit_6.apk,['android.permission.INTERNET'],"['org.dyndns.sven_ola.debian_kit.DebianKitActivity', 'org.dyndns.sven_ola.debian_kit..ReadmeActivity', 'org.dyndns.sven_ola.debian_kit..DownloadActivity']",[]
in.andres.kandroid_19.apk,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_LOGS', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET']","['in.andres.kandroid.ui.MainActivity', 'in.andres.kandroid.ui.LoginActivity', 'in.andres.kandroid.ui.AboutActivity', 'in.andres.kandroid.ui.SettingsActivity', 'in.andres.kandroid.ui.TaskDetailActivity', 'in.andres.kandroid.ui.TaskEditActivity', 'org.acra.dialog.CrashReportDialog']","['in.andres.kandroid.DownloadIntentService', 'org.acra.sender.SenderService']"
ru.sash0k.bluetooth_terminal_4.apk,"['android.permission.BLUETOOTH', 'android.permission.BLUETOOTH_CONNECT']","['ru.sash0k.bluetooth_terminal.activity.DeviceControlActivity', 'ru.sash0k.bluetooth_terminal.activity.SettingsActivity', 'ru.sash0k.bluetooth_terminal.bluetooth.DeviceListActivity']",[]
com.cleveroad.sample_1.apk,"['android.permission.RECORD_AUDIO', 'android.permission.MODIFY_AUDIO_SETTINGS', 'android.permission.READ_EXTERNAL_STORAGE']","['com.cleveroad.sample.MusicListActivity', 'com.cleveroad.sample.MainActivity']",[]
fr.ralala.hexviewer_150.apk,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_EXTERNAL_STORAGE']","['fr.ralala.hexviewer.ui.activities.MainActivity', 'fr.ralala.hexviewer.ui.activities.LineUpdateActivity', 'fr.ralala.hexviewer.ui.activities.RecentlyOpenActivity', 'fr.ralala.hexviewer.ui.activities.PartialOpenActivity', 'fr.ralala.hexviewer.ui.activities.settings.SettingsActivity', 'fr.ralala.hexviewer.ui.activities.settings.SettingsListsPortraitActivity', 'fr.ralala.hexviewer.ui.activities.settings.SettingsListsLandscapeActivity', 'fr.ralala.hexviewer.ui.activities.LogsActivity']",[]
com.adonai.manman_177.apk,"['android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET']","['com.adonai.manman.MainPagerActivity', 'com.adonai.manman.PreferencesActivity']",[]
com.termux.nix_188033.apk,"['android.permission.WAKE_LOCK', 'android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS', 'android.permission.READ_LOGS', 'android.permission.MANAGE_EXTERNAL_STORAGE', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.DUMP', 'android.permission.WRITE_SECURE_SETTINGS', 'android.permission.VIBRATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.PACKAGE_USAGE_STATS', 'android.permission.REQUEST_INSTALL_PACKAGES', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.FOREGROUND_SERVICE']","['com.termux.app.TermuxActivity', 'com.termux.app.activities.HelpActivity', 'com.termux.app.activities.SettingsActivity', 'com.termux.shared.activities.ReportActivity', 'com.termux.app.api.file.FileReceiverActivity']","['com.termux.app.TermuxService', 'com.termux.app.RunCommandService']"
com.manichord.mgit_240.apk,"['android.permission.MANAGE_EXTERNAL_STORAGE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET']","['com.manichord.mgit.repolist.RepoListActivity', 'me.sheimi.sgit.activities.RepoDetailActivity', 'me.sheimi.sgit.activities.ViewFileActivity', 'me.sheimi.sgit.activities.BranchChooserActivity', 'me.sheimi.sgit.activities.CommitDiffActivity', 'me.sheimi.sgit.activities.explorer.ImportRepositoryActivity', 'me.sheimi.sgit.activities.explorer.PrivateKeyManageActivity', 'me.sheimi.sgit.activities.explorer.ExploreFileActivity', 'me.sheimi.sgit.activities.UserSettingsActivity', 'me.sheimi.sgit.activities.explorer.ExploreRootDirActivity', 'org.acra.dialog.CrashReportDialog']","['org.acra.sender.LegacySenderService', 'org.acra.sender.JobSenderService']"
de.csicar.ning_201.apk,"['android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET']",['de.csicar.ning.MainActivity'],['androidx.room.MultiInstanceInvalidationService']
ws.xsoh.etar_38.apk,"['android.permission.WAKE_LOCK', 'android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS', 'android.permission.READ_SYNC_SETTINGS', 'android.permission.GET_ACCOUNTS', 'android.permission.WRITE_CALENDAR', 'android.permission.READ_CALENDAR', 'android.permission.FOREGROUND_SERVICE_SYSTEM_EXEMPTED', 'android.permission.VIBRATE', 'ws.xsoh.etar.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION', 'android.permission.READ_CONTACTS', 'android.permission.SCHEDULE_EXACT_ALARM', 'android.permission.POST_NOTIFICATIONS', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.FOREGROUND_SERVICE']","['com.android.calendar.AllInOneActivity', 'com.android.calendar.AboutActivity', 'com.android.calendar.EventInfoActivity', 'com.android.calendar.event.EditEventActivity', 'com.android.calendar.GoogleCalendarUriIntentFilter', 'com.android.calendar.settings.SettingsActivity', 'com.android.calendar.SearchActivity', 'com.android.calendar.ImportActivity', 'com.android.calendar.alerts.AlertActivity', 'com.android.calendar.alerts.QuickResponseActivity', 'com.android.calendar.alerts.SnoozeDelayActivity']","['com.android.calendar.alerts.AlertService', 'com.android.calendar.alerts.DismissAlarmsService', 'com.android.calendar.alerts.SnoozeAlarmsService', 'com.android.calendar.widget.CalendarAppWidgetService', 'com.android.calendar.AsyncQueryServiceHelper']"
net.sourceforge.x11basic_165.apk,"['android.permission.ACCESS_FINE_LOCATION', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.ACCESS_COARSE_LOCATION']","['net.sourceforge.x11basic.X11BasicActivity', 'net.sourceforge.x11basic.AboutActivity', 'net.sourceforge.x11basic.PreferencesActivity', 'net.sourceforge.x11basic.CrashHandler']",[]
com.asdoi.quicktiles_14.apk,"['android.permission.ACCESS_NOTIFICATION_POLICY', 'android.permission.DUMP', 'android.permission.WRITE_SECURE_SETTINGS', 'android.permission.WRITE_SETTINGS', 'android.permission.QUERY_ALL_PACKAGES', 'android.permission.ACCESS_WIFI_STATE', 'com.android.alarm.permission.SET_ALARM']","['com.asdoi.quicksettings.SettingsActivity', 'com.mikepenz.aboutlibraries.ui.LibsActivity']","['com.asdoi.quicksettings.utils.CustomAccessibilityService', 'com.asdoi.quicksettings.intent_tiles.PlayPauseTileService', 'com.asdoi.quicksettings.intent_tiles.NextSongTileService', 'com.asdoi.quicksettings.intent_tiles.PreviousSongTileService', 'com.asdoi.quicksettings.tiles.MediaVolumeTileService', 'com.asdoi.quicksettings.tiles.GrayscaleTileService', 'com.asdoi.quicksettings.tiles.AdaptiveBrightnessTileService', 'com.asdoi.quicksettings.tiles.UsbDebuggingTileService', 'com.asdoi.quicksettings.tiles.WirelessUsbDebuggingTileService', 'com.asdoi.quicksettings.tiles.FinishActivitiesTileService', 'com.asdoi.quicksettings.tiles.KeepScreenOnTileService', 'com.asdoi.quicksettings.tiles.DemoModeTileService', 'com.asdoi.quicksettings.tiles.AnimatorDurationTileService', 'com.asdoi.quicksettings.tiles.ShowTapsTileService', 'com.asdoi.quicksettings.tiles.ToggleAnimationTileService', 'com.asdoi.quicksettings.intent_tiles.NewAlarmTileService', 'com.asdoi.quicksettings.intent_tiles.NewTimerTileService', 'com.asdoi.quicksettings.intent_tiles.TakePhotoTileService', 'com.asdoi.quicksettings.intent_tiles.RecordVideoTileService', 'com.asdoi.quicksettings.intent_tiles.OpenCalculatorTileService', 'com.asdoi.quicksettings.intent_tiles.OpenVolumePanelTileService', 'com.asdoi.quicksettings.tiles.BrightnessTileService', 'com.asdoi.quicksettings.intent_tiles.OpenFilesTileService', 'com.asdoi.quicksettings.intent_tiles.BatteryTileService', 'com.asdoi.quicksettings.intent_tiles.OpenVpnTileService', 'com.asdoi.quicksettings.intent_tiles.OpenDataUsageTileService', 'com.asdoi.quicksettings.intent_tiles.OpenAboutPhoneTileService', 'com.asdoi.quicksettings.intent_tiles.OpenConnectedDevicesTileService', 'com.asdoi.quicksettings.intent_tiles.OpenNotificationLogTileService', 'com.asdoi.quicksettings.intent_tiles.OpenSettingsSearchTileService', 'com.asdoi.quicksettings.intent_tiles.NewCalendarEventTileService', 'com.asdoi.quicksettings.intent_tiles.MakeCallTileService', 'com.asdoi.quicksettings.tiles.CounterTileService', 'com.asdoi.quicksettings.tiles.ScreenTimeoutTileService', 'com.asdoi.quicksettings.tiles.VibrateCallsTileService', 'com.asdoi.quicksettings.tiles.DoNotDisturbSwitchTileService', 'com.asdoi.quicksettings.tiles.RotationSwitchTileService', 'com.asdoi.quicksettings.tiles.FixRotationTileService', 'com.asdoi.quicksettings.intent_tiles.OpenCastTileService', 'com.asdoi.quicksettings.intent_tiles.OpenDeveloperOptionsTileService', 'com.asdoi.quicksettings.intent_tiles.OpenLocaleTileService', 'com.asdoi.quicksettings.intent_tiles.OpenAppOneTileService', 'com.asdoi.quicksettings.intent_tiles.OpenAppTwoTileService', 'com.asdoi.quicksettings.intent_tiles.OpenAppThreeTileService', 'com.asdoi.quicksettings.intent_tiles.OpenAppFourTileService', 'com.asdoi.quicksettings.intent_tiles.OpenAppFiveTileService', 'com.asdoi.quicksettings.tiles.SilenceLoudSwitchTileService', 'com.asdoi.quicksettings.intent_tiles.OpenDisplayTileService', 'com.asdoi.quicksettings.intent_tiles.OpenHomeTileService', 'com.asdoi.quicksettings.intent_tiles.OpenPrivacyTileService', 'com.asdoi.quicksettings.intent_tiles.OpenUserDictionaryTileService', 'com.asdoi.quicksettings.accessibility_tiles.PowerDialogTileService', 'com.asdoi.quicksettings.accessibility_tiles.ScreenshotTileService', 'com.asdoi.quicksettings.accessibility_tiles.LockScreenTileService', 'com.asdoi.quicksettings.accessibility_tiles.ToggleSplitScreenTileService', 'com.asdoi.quicksettings.tiles.HeadsUpTileService']"
exa.lnx.a_650.apk,"['android.permission.WAKE_LOCK', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.FOREGROUND_SERVICE']",['exa.lnx.a.MainUI'],"['androidx.work.impl.background.systemalarm.SystemAlarmService', 'androidx.work.impl.background.systemjob.SystemJobService', 'androidx.work.impl.foreground.SystemForegroundService', 'androidx.room.MultiInstanceInvalidationService']"
com.biotstoiq.cryptix_23.apk,[],"['com.biotstoiq.cryptix.SettingsActivity', 'com.biotstoiq.cryptix.ShowResultActivity', 'com.biotstoiq.cryptix.MainActivity']",[]
com.foxdebug.acode_323.apk,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.VIBRATE', 'android.permission.WRITE_MEDIA_STORAGE', 'android.permission.INTERNET']",['com.foxdebug.acode.MainActivity'],[]
io.github.hasheazy_10.apk,[],"['io.github.hasheazy.LicenseActivity', 'io.github.hasheazy.MainActivity', 'com.jaredrummler.cyanea.prefs.CyaneaThemePickerActivity', 'com.jaredrummler.cyanea.prefs.CyaneaSettingsActivity']",['androidx.room.MultiInstanceInvalidationService']
com.jbirdvegas.mgerrit_2111084.apk,"['android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET']","['com.jbirdvegas.mgerrit.activities.GerritControllerActivity', 'com.jbirdvegas.mgerrit.activities.PatchSetViewerActivity', 'com.jbirdvegas.mgerrit.activities.PrefsActivity', 'com.jbirdvegas.mgerrit.activities.ProjectsList', 'com.jbirdvegas.mgerrit.activities.DiffViewer', 'com.jbirdvegas.mgerrit.activities.GerritSwitcher', 'com.jbirdvegas.mgerrit.activities.SigninActivity', 'com.jbirdvegas.mgerrit.activities.ReviewActivity', 'com.jbirdvegas.mgerrit.activities.RefineSearchActivity']",['com.jbirdvegas.mgerrit.tasks.GerritService']
marto.rtl_tcp_andro_30.apk,"['android.permission.WAKE_LOCK', 'android.permission.FOREGROUND_SERVICE', 'android.permission.INTERNET']","['com.sdrtouch.rtlsdr.DeviceOpenActivity', 'com.sdrtouch.rtlsdr.UsbDelegate', 'com.sdrtouch.rtlsdr.StreamActivity']",['com.sdrtouch.rtlsdr.BinaryRunnerService']
com.evenement.encapsulation_3.apk,"['android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET']",['com.evenement.eveControl.MainActivity'],[]
org.segin.bfinterpreter_9.apk,[],['org.segin.bfinterpreter.BFInterpreter'],[]
com.afollestad.nocknock_30.apk,"['android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET']","['com.afollestad.nocknock.ui.main.MainActivity', 'com.afollestad.nocknock.ui.addsite.AddSiteActivity', 'com.afollestad.nocknock.ui.viewsite.ViewSiteActivity']",['com.afollestad.nocknock.engine.validation.ValidationJob']
nl.patrickkostjens.kandroid_20.apk,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET']","['nl.patrickkostjens.kandroid.ui.MainActivity', 'nl.patrickkostjens.kandroid.ui.LoginActivity', 'nl.patrickkostjens.kandroid.ui.AboutActivity', 'nl.patrickkostjens.kandroid.ui.SettingsActivity', 'nl.patrickkostjens.kandroid.ui.TaskDetailActivity', 'nl.patrickkostjens.kandroid.ui.TaskEditActivity', 'org.acra.dialog.CrashReportDialog']","['nl.patrickkostjens.kandroid.DownloadIntentService', 'org.acra.sender.SenderService']"
com.tmendes.dadosd_4.apk,[],"['com.tmendes.dadosd.MainActivity', 'com.tmendes.dadosd.AboutUsActivity']",[]
org.gsmlg.semaphore_13.apk,['android.permission.INTERNET'],['org.gsmlg.semaphore.MainActivity'],[]
fr.librinfo.evecontrol2_20000.apk,"['android.permission.READ_PHONE_STATE', 'android.permission.MODIFY_AUDIO_SETTINGS', 'android.permission.RECORD_AUDIO', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE']",['fr.librinfo.evecontrol2.MainActivity'],[]
org.piepmeyer.gauguin_9.apk,['org.piepmeyer.gauguin.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION'],"['org.piepmeyer.gauguin.ui.main.MainActivity', 'org.piepmeyer.gauguin.ui.newgame.NewGameActivity', 'org.piepmeyer.gauguin.ui.LoadGameListActivity', 'org.piepmeyer.gauguin.ui.StatsActivity', 'org.piepmeyer.gauguin.ui.SettingsActivity']",[]
com.sunilpaulmathew.translator_18.apk,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET']","['com.sunilpaulmathew.translator.MainActivity', 'com.sunilpaulmathew.translator.activities.AboutActivity', 'com.sunilpaulmathew.translator.activities.FindReplaceActivity', 'com.sunilpaulmathew.translator.activities.SettingsActivity', 'com.sunilpaulmathew.translator.activities.StringViewActivity', 'in.sunilpaulmathew.sCommon.Activities.sCrashReporterActivity', 'in.sunilpaulmathew.sCommon.Activities.sCreditsActivity']",[]
org.getdisconnected.libreipsum_104.apk,[],['org.getdisconnected.libreipsum.MainActivity'],[]
site.leos.apps.lespas_95.apk,"['site.leos.apps.lespas.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION', 'android.permission.WRITE_SETTINGS', 'android.permission.POST_NOTIFICATIONS', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.WRITE_SYNC_SETTINGS', 'android.permission.READ_MEDIA_IMAGES', 'android.permission.READ_SYNC_STATS', 'android.permission.MANAGE_MEDIA', 'android.permission.WAKE_LOCK', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.READ_MEDIA_VIDEO', 'android.permission.READ_MEDIA_AUDIO', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET', 'android.permission.ACCESS_MEDIA_LOCATION', 'android.permission.READ_SYNC_SETTINGS', 'android.permission.USE_FINGERPRINT', 'android.permission.USE_BIOMETRIC', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.FOREGROUND_SERVICE']","['site.leos.apps.lespas.MainActivity', 'site.leos.apps.lespas.sync.ShareReceiverActivity', 'site.leos.apps.lespas.muzei.LesPasArtProviderSettingActivity']","['site.leos.apps.lespas.auth.NCAuthenticatorService', 'site.leos.apps.lespas.sync.SyncService', 'androidx.work.impl.background.systemalarm.SystemAlarmService', 'androidx.work.impl.background.systemjob.SystemJobService', 'androidx.work.impl.foreground.SystemForegroundService', 'androidx.room.MultiInstanceInvalidationService']"
me.shrimadhavuk.numselapp_1.apk,[],['me.shrimadhavuk.numselapp.MainActivity'],[]
com.bec3.mobilite_10310.apk,"['android.permission.SEND_SMS', 'android.permission.NFC', 'android.permission.READ_PHONE_STATE', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.VIBRATE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.INTERNET']",['com.bec3.mobilite.MainActivity'],[]
com.android.adbkeyboard_2.apk,[],[],['com.android.adbkeyboard.AdbIME']
de.storchp.fdroidbuildstatus_55.apk,"['android.permission.WAKE_LOCK', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET', 'de.storchp.fdroidbuildstatus.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION', 'android.permission.POST_NOTIFICATIONS', 'android.permission.FOREGROUND_SERVICE']","['de.storchp.fdroidbuildstatus.SettingsActivity', 'de.storchp.fdroidbuildstatus.MainActivity', 'de.storchp.fdroidbuildstatus.DetailActivity', 'de.storchp.fdroidbuildstatus.BuildlogActivity', 'de.storchp.fdroidbuildstatus.ShowErrorActivity']","['de.storchp.fdroidbuildstatus.monitor.MonitorJobService', 'androidx.work.impl.background.systemalarm.SystemAlarmService', 'androidx.work.impl.background.systemjob.SystemJobService', 'androidx.work.impl.foreground.SystemForegroundService', 'androidx.room.MultiInstanceInvalidationService']"
io.github.lonamiwebs.stringlate_1007.apk,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET']","['io.github.lonamiwebs.stringlate.activities.repositories.RepositoriesActivity', 'io.github.lonamiwebs.stringlate.activities.DiscoverActivity', 'io.github.lonamiwebs.stringlate.activities.translate.TranslateActivity', 'io.github.lonamiwebs.stringlate.activities.export.CreateGistActivity', 'io.github.lonamiwebs.stringlate.activities.info.BrowserActivity', 'io.github.lonamiwebs.stringlate.activities.translate.SearchStringActivity', 'io.github.lonamiwebs.stringlate.activities.SettingsActivity', 'io.github.lonamiwebs.stringlate.activities.export.CreateIssueActivity', 'io.github.lonamiwebs.stringlate.activities.export.CreatePullRequestActivity', 'io.github.lonamiwebs.stringlate.activities.export.CreateUrlActivity', 'io.github.lonamiwebs.stringlate.activities.translate.PeekTranslationsActivity']",[]
com.nomadlabs.labcoat.deeplinks_1.apk,[],"['com.nomadlabs.labcoat.deeplinks.AboutActivity', 'com.nomadlabs.labcoat.deeplinks.DeepLink']",[]
com.termux.window_15.apk,"['android.permission.VIBRATE', 'android.permission.SYSTEM_ALERT_WINDOW']","['com.termux.window.TermuxFloatActivity', 'com.termux.window.TermuxFloatPermissionActivity']",['com.termux.window.TermuxFloatService']
com.activitymanager_545.apk,"['android.permission.QUERY_ALL_PACKAGES', 'com.android.launcher.permission.INSTALL_SHORTCUT']","['com.sdex.activityrunner.MainActivity', 'com.sdex.activityrunner.intent.IntentBuilderActivity', 'com.sdex.activityrunner.intent.analyzer.IntentAnalyzerActivity', 'com.sdex.activityrunner.intent.history.HistoryActivity', 'com.sdex.activityrunner.manifest.ManifestViewerActivity', 'com.sdex.activityrunner.app.ActivitiesListActivity', 'com.sdex.activityrunner.shortcut.AddShortcutDialogActivity', 'com.sdex.activityrunner.shortcut.ShortcutHandlerActivity', 'com.sdex.activityrunner.about.AboutActivity', 'com.sdex.activityrunner.preferences.SettingsActivity']",['androidx.room.MultiInstanceInvalidationService']
io.kubenav.kubenav_89.apk,"['android.permission.USE_FINGERPRINT', 'android.permission.USE_BIOMETRIC', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'io.kubenav.kubenav.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION', 'android.permission.WRITE_EXTERNAL_STORAGE']","['io.kubenav.kubenav.MainActivity', 'io.flutter.plugins.urllauncher.WebViewActivity']",[]
com.termux.api_51.apk,"['android.permission.SEND_SMS', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.WRITE_SETTINGS', 'android.permission.RECORD_AUDIO', 'android.permission.READ_CONTACTS', 'android.permission.READ_SMS', 'android.permission.REQUEST_DELETE_PACKAGES', 'android.permission.NFC', 'android.permission.READ_PHONE_STATE', 'android.permission.SET_WALLPAPER', 'android.permission.VIBRATE', 'android.permission.READ_CALL_LOG', 'android.permission.CAMERA', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.CHANGE_WIFI_STATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.REQUEST_INSTALL_PACKAGES', 'android.permission.CALL_PHONE', 'android.permission.USE_FINGERPRINT', 'android.permission.TRANSMIT_IR', 'android.permission.USE_BIOMETRIC', 'android.permission.BODY_SENSORS']","['com.termux.api.DialogActivity', 'com.termux.api.NfcActivity', 'com.termux.api.FingerprintAPI$FingerprintActivity', 'com.termux.api.util.TermuxApiPermissionActivity', 'com.termux.api.StorageGetAPI$StorageActivity']","['com.termux.api.SpeechToTextAPI$SpeechToTextService', 'com.termux.api.TextToSpeechAPI$TextToSpeechService', 'com.termux.api.SensorAPI$SensorReaderService', 'com.termux.api.MediaPlayerAPI$PlayerService', 'com.termux.api.MicRecorderAPI$MicRecorderService', 'com.termux.api.WallpaperAPI$WallpaperService', 'com.termux.api.NotificationService', 'com.termux.api.SchedulerJobService', 'com.termux.api.KeepAliveService']"
com.termux.tasker_6.apk,['android.permission.VIBRATE'],"['com.termux.tasker.activities.TermuxTaskerActivity', 'com.termux.tasker.EditConfigurationActivity', 'com.termux.shared.activities.TextIOActivity']",['com.termux.tasker.PluginResultsService']
com.garyodernichts.downgrader_2.apk,['android.permission.READ_EXTERNAL_STORAGE'],"['com.garyodernichts.downgrader.MainActivity', 'pub.devrel.easypermissions.AppSettingsDialogHolderActivity']",[]
org.segin.ttleditor_19.apk,"['android.permission.ACCESS_SUPERUSER', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET']","['org.segin.ttleditor.TTLEditor', 'org.segin.ttleditor.SettingsActivity']",['org.segin.ttleditor.BootService']
cl.coders.faketraveler_9.apk,"['android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_MOCK_LOCATION', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.INTERNET']","['cl.coders.faketraveler.MainActivity', 'cl.coders.faketraveler.MoreActivity']",[]
de.grobox.appbundlereporter_2.apk,['android.permission.QUERY_ALL_PACKAGES'],['de.grobox.appbundlereporter.MainActivity'],[]
nl.tsmeets.todotree_5.apk,[],['nl.tsmeets.todotree.MainActivity'],[]
org.kde.necessitas.ministro_14.apk,"['android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET']","['org.kde.necessitas.ministro..MinistroActivity', 'org.kde.necessitas.ministro.MinistroConfigActivity']",['org.kde.necessitas.ministro.MinistroService']
com.wrmndfzzy.atomize_1.apk,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_EXTERNAL_STORAGE']","['com.wrmndfzzy.atomize.MainActivity', 'com.wrmndfzzy.atomize.AboutActivity', 'com.wrmndfzzy.atomize.LicenseActivity', 'com.wrmndfzzy.atomize.intro.IntroActivity']",[]
tech.platypush.platypush_1000100.apk,['android.permission.INTERNET'],['tech.platypush.platypush.MainActivity'],[]
com.example.booklistingapk_2.apk,"['android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET']",['com.example.booklistingapk.MainActivity'],[]
de.k3b.android.contentproviderhelper_5.apk,"['android.permission.READ_LOGS', 'android.permission.READ_PHONE_STATE', 'android.permission.READ_PROFILE', 'android.permission.READ_SYNC_SETTINGS', 'android.permission.READ_SOCIAL_STREAM', 'android.permission.READ_CALENDAR', 'android.permission.MANAGE_DOCUMENTS', 'android.permission.READ_CALL_LOG', 'android.permission.READ_SYNC_STATS', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.READ_CONTACTS', 'android.permission.READ_USER_DICTIONARY', 'android.permission.READ_SMS', 'com.android.browser.permission.READ_HISTORY_BOOKMARKS']","['com.jensdriller.contentproviderhelper.ui.activity.MainActivity', 'com.jensdriller.contentproviderhelper.ui.activity.ResultActivity', 'com.jensdriller.contentproviderhelper.ui.activity.PreferenceActivity']",[]
com.termux.boot_7.apk,"['android.permission.WAKE_LOCK', 'android.permission.RECEIVE_BOOT_COMPLETED']",['com.termux.boot.BootActivity'],['com.termux.boot.BootJobService']
click.dummer.UartSmartwatch_32.apk,"['android.permission.BLUETOOTH_ADMIN', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.BLUETOOTH']","['click.dummer.UartSmartwatch.MainActivity', 'click.dummer.UartSmartwatch.PreferencesActivity', 'click.dummer.UartSmartwatch.DeviceListActivity']","['click.dummer.UartSmartwatch.UartService', 'click.dummer.UartSmartwatch.NotificationService']"
